total_reward,mean_reward
-71316.0,-71.316
-5969.0,-5.969
-3343.0,-3.343
-1626.0,-1.626
-919.0,-0.919
-313.0,-0.313
-1424.0,-1.424
-818.0,-0.818
-111.0,-0.111
-212.0,-0.212
-616.0,-0.616
-818.0,-0.818
-1222.0,-1.222
-212.0,-0.212
-111.0,-0.111
-111.0,-0.111
-1121.0,-1.121
-616.0,-0.616
394.0,0.394
-212.0,-0.212
-212.0,-0.212
-515.0,-0.515
-1525.0,-1.525
192.0,0.192
-111.0,-0.111
-10.0,-0.01
-10.0,-0.01
-111.0,-0.111
-616.0,-0.616
-1222.0,-1.222
-717.0,-0.717
91.0,0.091
-111.0,-0.111
293.0,0.293
-111.0,-0.111
-515.0,-0.515
-717.0,-0.717
-212.0,-0.212
-212.0,-0.212
-313.0,-0.313
-414.0,-0.414
394.0,0.394
-1222.0,-1.222
-2030.0,-2.03
-111.0,-0.111
-1424.0,-1.424
-1020.0,-1.02
-919.0,-0.919
-313.0,-0.313
-1121.0,-1.121
-616.0,-0.616
-919.0,-0.919
-1727.0,-1.727
-2030.0,-2.03
-10.0,-0.01
-2333.0,-2.333
-616.0,-0.616
-212.0,-0.212
-616.0,-0.616
-717.0,-0.717
-818.0,-0.818
-111.0,-0.111
-1828.0,-1.828
-919.0,-0.919
-313.0,-0.313
-414.0,-0.414
-919.0,-0.919
-1626.0,-1.626
-414.0,-0.414
-616.0,-0.616
-919.0,-0.919
-717.0,-0.717
-414.0,-0.414
-313.0,-0.313
-717.0,-0.717
-10.0,-0.01
-212.0,-0.212
-919.0,-0.919
-212.0,-0.212
-616.0,-0.616
