total_reward,mean_reward
-8539.377,-8.539377
-3891.4090000000006,-3.8914090000000003
-2536.2480000000005,-2.5362480000000005
-2540.1800000000003,-2.5401800000000003
-1474.576,-1.474576
-1520.3249999999998,-1.520325
-1219.837,-1.219837
-1055.5900000000001,-1.0555900000000003
-1181.23,-1.18123
-1096.9660000000001,-1.096966
-1037.82,-1.03782
-1234.382,-1.234382
-921.6419999999999,-0.921642
-863.0459999999999,-0.863046
-1013.1510000000001,-1.0131510000000001
-811.3119999999999,-0.8113119999999999
-654.875,-0.654875
-905.018,-0.905018
-929.793,-0.929793
-1111.939,-1.111939
-874.753,-0.874753
-1014.873,-1.0148730000000001
-977.3779999999999,-0.977378
-975.918,-0.975918
-845.541,-0.8455410000000001
-969.539,-0.969539
-1327.902,-1.3279020000000001
-906.5609999999999,-0.906561
-899.567,-0.899567
-1418.771,-1.418771
-659.8420000000001,-0.6598420000000002
-851.315,-0.851315
-1037.861,-1.0378610000000001
-918.385,-0.918385
-691.7750000000001,-0.6917750000000001
-669.671,-0.669671
-910.1370000000001,-0.9101370000000001
-864.3050000000001,-0.8643050000000001
-946.597,-0.946597
-862.933,-0.862933
-424.2750000000001,-0.42427500000000007
-750.606,-0.750606
-1246.225,-1.246225
-1202.407,-1.202407
-738.1550000000001,-0.7381550000000001
-1005.336,-1.005336
-867.404,-0.867404
-866.253,-0.866253
-849.0430000000001,-0.8490430000000001
-774.846,-0.774846
-827.9549999999999,-0.8279549999999999
-766.631,-0.766631
-903.356,-0.903356
-1087.2250000000001,-1.087225
-700.191,-0.700191
-863.683,-0.863683
-901.633,-0.901633
-852.492,-0.8524919999999999
-919.0890000000002,-0.9190890000000002
-669.8800000000001,-0.6698800000000001
-485.875,-0.485875
-674.942,-0.674942
-1034.558,-1.034558
-1202.455,-1.2024549999999998
-764.0450000000001,-0.7640450000000001
-928.939,-0.928939
-900.2170000000001,-0.900217
-654.108,-0.6541079999999999
-740.694,-0.740694
-782.9950000000001,-0.7829950000000001
-685.5889999999999,-0.6855889999999999
-681.3820000000001,-0.681382
-770.39,-0.77039
-700.4120000000001,-0.7004120000000001
-778.661,-0.7786609999999999
-577.7639999999999,-0.5777639999999999
-542.519,-0.542519
-679.427,-0.679427
-683.188,-0.683188
-930.993,-0.9309930000000001
-897.23,-0.89723
-876.5899999999999,-0.8765899999999999
-985.8110000000001,-0.9858110000000001
-679.703,-0.679703
-587.484,-0.587484
-562.809,-0.562809
-996.592,-0.996592
-707.2789999999999,-0.7072789999999999
-910.701,-0.910701
-696.46,-0.6964600000000001
-544.293,-0.544293
-527.088,-0.527088
-543.188,-0.543188
-857.49,-0.85749
-538.427,-0.538427
-717.947,-0.717947
-750.0819999999999,-0.7500819999999999
-747.2990000000001,-0.747299
-745.942,-0.745942
-894.133,-0.8941330000000001
