total_reward,mean_reward
848.0,0.848
938.0,0.938
939.0,0.939
934.0,0.934
945.0,0.945
958.0,0.958
966.0,0.966
955.0,0.955
942.0,0.942
956.0,0.956
967.0,0.967
950.0,0.95
956.0,0.956
959.0,0.959
963.0,0.963
956.0,0.956
945.0,0.945
961.0,0.961
962.0,0.962
952.0,0.952
972.0,0.972
977.0,0.977
975.0,0.975
945.0,0.945
962.0,0.962
929.0,0.929
950.0,0.95
966.0,0.966
967.0,0.967
805.0,0.805
208.0,0.208
322.0,0.322
164.0,0.164
145.0,0.145
151.0,0.151
151.0,0.151
205.0,0.205
309.0,0.309
338.0,0.338
353.0,0.353
367.0,0.367
426.0,0.426
333.0,0.333
547.0,0.547
830.0,0.83
563.0,0.563
293.0,0.293
363.0,0.363
401.0,0.401
623.0,0.623
828.0,0.828
821.0,0.821
877.0,0.877
860.0,0.86
932.0,0.932
937.0,0.937
924.0,0.924
958.0,0.958
957.0,0.957
937.0,0.937
951.0,0.951
954.0,0.954
933.0,0.933
692.0,0.692
86.0,0.086
432.0,0.432
422.0,0.422
149.0,0.149
236.0,0.236
357.0,0.357
498.0,0.498
544.0,0.544
647.0,0.647
799.0,0.799
905.0,0.905
928.0,0.928
945.0,0.945
893.0,0.893
847.0,0.847
906.0,0.906
