good,medium,bad
796,187,12
889,249,10
821,204,4
805,131,2
824,141,0
898,99,0
890,147,1
926,125,1
831,126,2
854,125,2
842,248,34
947,202,28
807,188,2
803,314,21
752,324,110
680,323,9
826,158,0
901,248,5
934,232,6
813,163,4
962,201,1
812,171,2
849,113,0
873,312,2
801,194,0
832,218,2
842,221,29
767,270,2
781,161,3
877,212,7
910,220,6
914,191,1
829,117,0
966,174,5
875,221,1
817,96,0
901,224,17
877,264,39
819,82,1
920,130,0
834,153,9
817,174,0
845,175,0
810,153,0
853,98,6
879,197,0
734,197,2
946,233,0
834,304,15
829,161,15
960,179,0
884,195,0
862,225,3
857,146,0
885,197,0
830,217,14
854,211,8
908,138,4
839,127,0
835,115,0
944,138,0
836,166,0
786,134,0
785,338,73
779,164,10
904,161,0
896,150,0
917,181,1
762,157,0
959,169,0
849,213,0
858,180,0
819,241,0
801,175,0
817,375,5
813,165,5
903,113,6
980,181,4
915,209,0
937,160,0
866,198,2
809,164,12
925,179,5
766,184,11
757,249,30
837,240,12
815,235,106
781,225,91
768,203,9
814,195,0
923,102,0
840,178,0
869,129,1
950,197,2
814,108,3
877,241,28
873,141,0
800,107,0
896,207,6
849,149,0
