server,bus1,bus2,bus3,bus4,bus5
230,185,150,166,168,101
261,75,203,157,173,131
186,136,209,172,174,123
136,121,210,179,179,175
128,155,206,180,159,172
144,166,199,168,153,170
182,155,207,131,155,170
174,146,210,151,153,166
201,137,204,146,154,158
187,148,204,147,156,158
179,140,206,153,162,160
219,138,199,146,149,149
202,145,199,147,155,152
185,142,206,142,158,167
151,157,196,159,171,166
150,152,201,165,162,170
157,159,207,140,170,167
165,158,204,150,163,160
158,163,203,158,159,159
161,166,205,151,161,156
161,161,202,151,168,157
152,166,204,165,164,149
152,159,201,162,169,157
167,159,197,158,168,151
166,148,202,161,167,156
169,149,205,150,161,166
195,154,204,132,158,157
203,154,213,141,141,148
185,149,211,165,142,148
160,157,209,166,151,157
164,153,212,169,141,161
158,154,202,173,150,163
165,150,204,165,156,160
181,155,204,161,147,152
159,148,213,160,162,158
162,153,209,175,149,152
169,158,210,159,151,153
158,148,210,169,151,164
162,148,208,161,157,164
169,143,209,159,159,161
129,160,213,173,164,161
162,147,215,165,153,158
187,151,207,156,152,147
196,155,210,151,140,148
174,160,211,151,152,152
167,159,200,163,157,154
161,153,202,158,164,162
166,145,208,162,155,164
183,147,207,158,154,151
188,144,216,158,151,143
158,154,216,166,151,155
175,158,208,158,150,151
151,158,210,163,156,162
188,143,212,158,146,153
172,146,213,166,144,159
175,136,210,162,161,156
177,142,211,157,153,160
161,147,206,161,162,163
167,139,207,165,158,164
185,144,201,159,151,160
152,152,213,169,153,161
168,140,212,166,151,163
175,122,206,154,168,175
190,132,204,151,159,164
160,136,212,163,164,165
150,136,207,167,166,174
176,115,200,167,166,176
174,123,210,157,162,174
185,118,208,157,163,169
179,117,201,165,165,173
164,126,204,167,161,178
183,126,208,157,156,170
192,138,201,150,157,162
173,140,207,157,158,165
168,144,206,156,164,162
158,152,209,164,151,166
151,147,207,170,157,168
167,141,204,164,158,166
175,139,197,164,155,170
179,144,199,158,154,166
181,143,205,153,159,159
183,147,205,152,155,158
185,150,208,151,148,158
174,149,199,161,152,165
158,146,214,160,156,166
172,145,200,162,154,167
177,144,198,157,161,163
162,152,204,166,158,158
166,141,206,163,158,166
168,147,201,161,162,161
149,149,201,163,173,165
165,144,207,159,163,162
160,146,203,162,164,165
182,135,204,155,161,163
166,154,207,152,158,163
190,131,204,155,157,163
172,140,200,157,168,163
160,140,202,161,166,171
170,142,199,152,167,170
177,135,207,156,161,164
