server,bus1,bus2,bus3,bus4,bus5
7,17,905,13,46,12
16,294,18,232,122,318
829,59,17,26,44,25
840,38,14,12,13,83
23,398,31,23,150,375
78,27,247,231,405,12
529,17,136,147,89,82
528,90,65,195,50,72
295,136,39,223,88,219
426,115,37,112,217,93
392,95,68,163,207,75
267,27,267,283,128,28
530,13,86,63,45,263
454,335,22,18,20,151
466,69,145,113,38,169
534,56,46,84,261,19
360,117,132,191,151,49
308,89,271,132,179,21
348,201,16,109,94,232
429,127,16,152,111,165
524,186,16,114,80,80
542,65,132,28,150,83
536,78,219,58,26,83
537,45,122,100,91,105
555,38,13,169,50,175
561,127,9,71,88,144
557,86,35,96,86,140
557,76,50,47,130,140
553,81,143,39,94,90
522,144,11,107,81,135
485,129,127,84,71,104
410,237,207,38,47,61
621,130,16,34,120,79
364,106,47,88,156,239
544,61,185,35,102,73
500,73,182,157,20,68
510,205,78,87,106,14
553,126,164,29,104,24
540,70,202,22,126,40
538,54,205,18,82,103
546,29,177,68,103,77
542,52,194,74,85,53
525,119,181,45,52,78
541,136,169,15,46,93
546,70,216,31,54,83
519,53,208,40,56,124
539,28,200,76,72,85
540,28,209,21,46,156
157,40,108,245,359,91
398,98,125,89,265,25
540,54,39,85,195,87
611,47,82,112,45,103
621,120,138,51,34,36
556,94,128,86,33,103
448,150,165,118,17,102
310,131,15,249,207,88
20,20,146,231,372,211
81,216,137,188,290,88
525,31,109,74,147,114
561,95,139,69,41,95
483,101,216,37,110,53
421,67,133,60,192,127
184,205,53,343,67,148
83,215,104,245,39,314
679,36,67,108,35,75
755,81,17,23,75,49
275,108,287,24,281,25
434,18,177,16,305,50
290,29,107,145,163,266
244,310,47,322,18,59
586,155,146,80,13,20
452,91,135,155,21,146
461,27,25,324,106,57
98,48,239,218,150,247
485,206,95,15,65,134
420,210,175,76,77,42
405,151,145,93,108,98
429,125,275,52,69,50
496,128,187,56,73,60
296,174,142,169,143,76
379,14,55,174,308,70
393,23,222,134,112,116
262,13,275,17,42,391
19,184,205,235,127,230
11,218,22,587,147,15
71,345,153,19,144,268
741,62,41,84,36,36
815,19,14,16,122,14
141,22,453,26,337,21
249,158,301,189,11,92
373,248,16,47,97,219
273,274,39,84,52,278
485,25,15,181,59,235
850,16,19,13,11,91
768,13,78,20,100,21
659,35,106,72,112,16
478,209,132,46,118,17
441,97,55,227,99,81
23,261,55,57,136,468
14,42,296,11,102,535
