server,bus1,bus2,bus3,bus4,bus5
0,194,192,219,199,196
0,193,198,215,210,184
0,202,207,178,205,208
0,222,206,179,192,201
0,187,215,211,188,199
0,198,204,178,200,220
0,209,195,186,195,215
0,204,201,226,181,188
0,210,202,191,185,212
0,192,197,210,198,203
0,200,208,191,218,183
0,216,188,175,197,224
0,186,183,212,187,232
0,203,219,182,206,190
0,223,180,212,196,189
0,197,184,203,214,202
0,205,166,221,200,208
0,196,201,204,201,198
0,187,198,211,195,209
0,208,186,189,205,212
0,184,201,180,228,207
0,193,201,240,190,176
0,197,181,186,227,209
0,191,233,204,180,192
0,200,200,182,205,213
0,213,211,202,191,183
0,202,193,207,205,193
0,194,207,191,210,198
0,206,215,195,186,198
0,185,197,197,211,210
0,208,193,222,201,176
0,223,191,198,191,197
0,200,205,190,193,212
0,202,200,194,213,191
0,212,193,206,181,208
0,199,205,203,200,193
0,199,197,226,201,177
0,198,217,221,184,180
0,211,200,205,198,186
0,218,192,196,187,207
0,207,206,193,200,194
0,210,199,182,201,208
0,215,172,199,199,215
0,199,227,186,212,176
0,188,220,202,192,198
0,189,197,192,199,223
0,183,212,197,211,197
0,198,218,205,208,171
0,206,189,214,203,188
0,203,227,193,188,189
0,182,207,194,194,223
0,189,188,224,193,206
0,208,190,167,207,228
0,190,219,214,207,170
0,181,193,219,201,206
0,191,212,204,174,219
0,198,217,208,196,181
0,211,183,214,196,196
0,200,212,193,189,206
0,221,197,191,187,204
0,203,201,176,207,213
0,215,203,182,225,175
0,201,217,180,192,210
0,216,180,207,197,200
0,193,207,194,208,198
0,195,199,193,205,208
0,228,179,207,199,187
0,200,177,197,221,205
0,215,194,218,188,185
0,225,178,221,203,173
0,218,201,184,202,195
0,199,193,185,187,236
0,214,217,189,197,183
0,209,196,206,181,208
0,166,202,219,210,203
0,178,197,218,211,196
0,201,205,186,199,209
0,205,196,187,215,197
0,194,172,210,205,219
0,206,217,192,202,183
0,202,195,201,207,195
0,199,196,199,191,215
0,204,209,174,203,210
0,191,178,225,198,208
0,191,190,212,210,197
0,191,192,204,224,189
0,207,194,210,203,186
0,178,207,193,194,228
0,217,200,186,192,205
0,175,210,209,203,203
0,183,196,193,215,213
0,188,197,200,197,218
0,197,221,181,214,187
0,207,199,186,217,191
0,199,201,207,200,193
0,197,198,215,193,197
0,184,203,205,200,208
0,195,205,198,209,193
0,196,203,189,192,220
0,234,201,176,195,194
