server,bus1,bus2,bus3,bus4,bus5
241,161,186,203,94,115
175,131,176,157,176,185
158,182,216,165,122,157
327,164,120,127,111,151
328,171,178,118,108,97
281,155,183,94,115,172
185,165,207,156,123,164
177,147,208,170,133,165
175,153,198,151,156,167
149,157,203,158,162,171
167,166,195,168,146,158
180,153,196,178,131,162
187,164,209,169,109,162
210,162,209,152,111,156
212,165,203,135,121,164
182,168,213,147,130,160
149,170,213,157,139,172
170,159,206,161,146,158
196,161,204,146,129,164
218,154,212,130,130,156
203,166,211,131,142,147
190,167,210,141,137,155
171,162,202,151,155,159
186,150,208,150,148,158
205,145,212,150,128,160
213,151,211,137,140,148
232,161,216,135,117,139
233,150,216,137,115,149
220,148,210,143,126,153
187,145,213,158,135,162
163,153,212,157,148,167
123,149,219,174,164,171
158,157,206,169,148,162
176,163,205,158,151,147
168,163,212,170,143,144
174,150,215,172,156,133
203,138,212,156,153,138
178,144,213,155,144,166
176,148,206,163,145,162
182,150,208,165,145,150
173,147,215,159,154,152
163,147,217,162,151,160
168,146,206,157,162,161
179,146,212,159,153,151
165,149,216,165,152,153
164,147,218,160,154,157
148,150,216,163,162,161
150,157,221,164,153,155
187,149,214,163,133,154
184,144,207,165,138,162
181,134,212,166,143,164
166,133,214,173,139,175
166,138,216,171,144,165
174,142,217,168,135,164
185,145,217,162,134,157
187,148,204,160,147,154
171,138,207,170,150,164
154,140,203,173,161,169
148,141,209,168,160,174
169,140,209,165,150,167
161,149,208,165,153,164
158,146,213,164,156,163
189,144,210,150,147,160
195,144,214,151,147,149
185,132,216,156,144,167
164,117,215,169,163,172
181,123,217,157,156,166
176,116,217,158,164,169
185,132,211,145,160,167
179,122,221,149,157,172
178,125,215,152,157,173
173,124,217,157,166,163
187,60,218,143,180,212
33,90,215,227,210,225
327,125,162,134,147,105
158,168,165,168,162,179
158,160,188,157,160,177
176,142,216,150,150,166
199,144,220,142,137,158
201,133,205,153,145,163
227,151,208,132,129,153
212,148,214,130,137,159
232,157,201,129,129,152
214,151,208,145,131,151
193,151,217,142,138,159
190,153,214,144,141,158
191,163,211,159,126,150
186,166,209,155,133,151
194,153,212,154,131,156
184,157,213,151,137,158
190,151,216,148,139,156
186,159,217,147,129,162
188,151,215,143,143,160
193,155,215,145,135,157
185,154,217,148,141,155
199,155,214,148,132,152
192,150,215,148,137,158
192,148,216,144,134,166
214,131,216,129,143,167
207,148,215,136,135,159
