server,bus1
766,234
863,137
811,189
777,223
646,354
602,398
722,278
703,297
692,308
766,234
842,158
829,171
850,150
837,163
795,205
771,229
794,206
788,212
803,197
787,213
785,215
778,222
778,222
780,220
743,257
741,259
754,246
782,218
748,252
791,209
772,228
752,248
757,243
637,363
705,295
615,385
685,315
754,246
730,270
662,338
598,402
619,381
547,453
717,283
760,240
808,192
883,117
898,102
884,116
891,109
811,189
861,139
824,176
805,195
821,179
805,195
769,231
619,381
592,408
624,376
818,182
729,271
740,260
793,207
835,165
842,158
803,197
759,241
733,267
737,263
743,257
735,265
725,275
704,296
746,254
739,261
780,220
690,310
685,315
743,257
677,323
683,317
707,293
736,264
771,229
701,299
828,172
843,157
827,173
763,237
837,163
831,169
774,226
748,252
841,159
821,179
825,175
830,170
513,487
733,267
