server,bus1,bus2,bus3
520,150,168,162
529,129,177,165
550,117,169,164
540,132,172,156
521,144,180,155
519,148,188,145
517,118,213,152
500,132,205,163
517,130,205,148
510,127,199,164
524,141,179,156
522,122,203,153
536,139,188,137
533,130,188,149
518,135,191,156
517,134,187,162
541,132,201,126
531,116,204,149
526,143,191,140
522,130,183,165
540,143,186,131
535,135,175,155
523,145,171,161
539,143,182,136
517,146,186,151
533,145,187,135
538,137,174,151
532,145,196,127
531,146,184,139
525,142,174,159
522,154,177,147
519,154,173,154
512,148,184,156
516,151,178,155
502,145,172,181
486,120,208,186
528,159,183,130
523,159,180,138
521,144,177,158
524,156,180,140
548,160,181,111
530,162,177,131
522,162,171,145
526,159,170,145
530,171,181,118
513,163,182,142
524,170,177,129
514,170,182,134
513,171,175,141
519,162,173,146
521,167,165,147
499,167,178,156
496,166,179,159
496,158,174,172
506,170,173,151
526,158,183,133
519,162,189,130
503,152,198,147
511,160,190,139
506,156,194,144
507,159,204,130
501,164,202,133
514,155,192,139
491,147,198,164
518,162,199,121
516,152,190,142
501,141,204,154
503,161,204,132
511,152,204,133
524,137,195,144
517,148,194,141
514,157,197,132
495,158,200,147
475,174,200,151
491,169,207,133
488,171,210,131
511,168,203,118
483,162,205,150
496,165,191,148
489,160,194,157
516,161,209,114
513,161,202,124
510,165,202,123
503,162,207,128
508,170,207,115
515,172,208,105
476,174,198,152
502,169,207,122
490,172,210,128
518,161,203,118
502,164,209,125
490,175,207,128
506,171,211,112
499,165,205,131
499,171,210,120
491,165,206,138
497,169,207,127
508,168,214,110
531,149,201,119
509,152,199,140
