server,bus1,bus2,bus3,bus4,bus5
363,129,179,118,122,89
519,130,82,99,82,88
461,131,60,152,122,74
435,141,86,125,145,68
424,143,90,144,144,55
446,134,99,135,140,46
518,122,86,72,131,71
475,117,98,61,133,116
471,119,103,64,136,107
505,121,90,67,114,103
540,121,96,63,76,104
475,80,111,114,90,130
522,97,129,61,109,82
524,106,136,42,130,62
517,114,130,50,128,61
469,115,107,64,152,93
469,103,79,96,144,109
455,114,123,101,101,106
459,112,155,95,104,75
470,106,163,78,123,60
482,104,141,78,124,71
443,112,110,91,147,97
440,107,112,106,139,96
440,111,114,101,128,106
437,116,133,96,121,97
454,123,121,98,112,92
455,118,145,53,131,98
287,70,43,99,328,173
117,79,146,163,322,173
225,122,71,129,296,157
258,66,82,195,234,165
410,63,125,136,141,125
539,49,59,127,154,72
403,62,130,114,192,99
396,116,135,99,155,99
450,88,143,79,153,87
381,54,154,62,199,150
452,33,196,109,75,135
520,65,211,72,112,20
566,113,166,24,111,20
512,154,97,33,184,20
523,79,64,160,167,7
533,43,121,120,75,108
518,136,163,85,29,69
529,158,168,47,31,67
526,144,165,77,63,25
514,115,154,71,117,29
530,114,144,77,99,36
498,89,156,114,102,41
494,89,162,116,89,50
504,88,148,119,80,61
505,82,134,140,62,77
514,83,131,121,59,92
522,79,127,111,76,85
505,71,141,90,94,99
486,74,160,79,86,115
476,88,161,78,82,115
479,92,160,97,77,95
492,95,154,96,75,88
477,76,165,108,85,89
497,78,170,116,57,82
470,93,179,106,69,83
460,76,178,93,101,92
470,99,173,82,77,99
467,104,158,67,88,116
458,109,169,73,97,94
445,125,167,69,111,83
458,142,170,108,59,63
461,125,174,104,75,61
488,96,153,98,96,69
476,70,165,95,94,100
472,71,178,96,82,101
477,89,177,103,60,94
477,104,164,119,50,86
468,118,168,99,52,95
462,134,147,98,66,93
465,121,156,94,78,86
457,110,159,103,89,82
471,106,123,113,123,64
439,103,183,94,106,75
519,53,209,106,76,37
528,43,212,103,79,35
519,46,210,112,71,42
517,39,213,108,76,47
525,35,217,112,65,46
531,31,215,112,65,46
495,39,218,119,76,53
529,35,212,107,64,53
522,37,219,107,51,64
460,38,215,113,98,76
466,38,213,116,103,64
497,29,215,115,78,66
510,29,215,115,70,61
496,41,214,116,69,64
480,31,214,121,95,59
458,36,212,115,102,77
495,34,212,94,93,72
509,35,210,84,90,72
488,58,201,77,111,65
500,43,213,98,87,59
