server,bus1
841,159
795,205
715,285
585,415
480,520
486,514
633,367
670,330
653,347
723,277
753,247
762,238
813,187
834,166
901,99
860,140
847,153
812,188
832,168
797,203
821,179
806,194
793,207
794,206
762,238
739,261
766,234
779,221
746,254
761,239
748,252
753,247
751,249
633,367
683,317
612,388
644,356
716,284
738,262
687,313
585,415
572,428
494,506
646,354
661,339
741,259
792,208
762,238
790,210
838,162
766,234
775,225
841,159
849,151
875,125
920,80
850,150
750,250
657,343
642,358
857,143
756,244
747,253
789,211
799,201
796,204
762,238
787,213
784,216
764,236
757,243
762,238
758,242
755,245
755,245
706,294
675,325
677,323
677,323
705,295
766,234
795,205
839,161
834,166
845,155
803,197
874,126
881,119
869,131
830,170
874,126
881,119
830,170
802,198
870,130
852,148
861,139
862,138
601,399
801,199
