server,bus1,bus2,bus3
568,116,151,165
505,164,163,168
554,135,158,153
557,135,154,154
536,158,157,149
530,151,171,148
521,130,196,153
538,143,154,165
533,142,164,161
542,140,162,156
541,161,166,132
507,151,186,156
112,228,200,460
627,187,46,140
526,170,176,128
541,173,176,110
538,179,186,97
534,154,184,128
510,147,212,131
494,176,205,125
512,168,204,116
520,156,197,127
511,152,196,141
529,149,204,118
531,137,197,135
537,141,203,119
532,150,194,124
545,151,194,110
536,161,185,118
531,166,174,129
544,164,167,125
533,149,169,149
531,159,167,143
529,159,155,157
548,164,154,134
541,171,157,131
543,168,155,134
546,176,148,130
526,159,136,179
436,194,152,218
565,157,182,96
547,166,132,155
547,153,158,142
540,157,157,146
546,165,164,125
526,170,157,147
537,161,181,121
534,162,157,147
539,165,166,130
553,179,170,98
533,150,174,143
529,163,158,150
529,146,169,156
534,154,175,137
536,164,160,140
537,155,170,138
538,153,160,149
532,160,163,145
539,164,158,139
544,153,161,142
547,158,172,123
536,158,163,143
534,162,169,135
573,177,154,96
494,152,200,154
539,147,173,141
542,129,172,157
547,136,180,137
543,132,174,151
537,139,176,148
549,147,161,143
544,156,158,142
525,161,160,154
535,164,150,151
532,155,172,141
544,170,154,132
543,160,163,134
531,164,156,149
529,159,154,158
521,150,170,159
536,161,177,126
517,155,176,152
512,165,182,141
513,161,186,140
519,167,181,133
514,171,179,136
526,158,185,131
512,154,187,147
529,166,184,121
514,126,194,166
521,162,183,134
524,169,181,126
527,167,182,124
517,162,185,136
511,166,186,137
504,168,182,146
529,161,186,124
530,154,178,138
518,146,184,152
522,147,171,160
