server,bus1,bus2,bus3,bus4,bus5,bus6,bus7
474,50,115,124,92,40,63,42
448,18,160,130,119,57,57,11
418,56,117,117,93,104,80,15
372,86,119,132,98,104,71,18
363,65,136,135,105,56,127,13
359,72,136,122,111,92,86,22
379,76,168,90,120,45,31,91
347,124,141,109,124,109,28,18
337,122,123,115,128,104,52,19
322,106,151,113,129,98,69,12
343,94,163,109,135,79,64,13
364,85,128,121,134,107,51,10
410,82,113,98,130,95,47,25
302,126,130,105,133,100,37,67
307,141,129,98,139,104,61,21
288,137,155,100,138,104,60,18
282,124,147,99,141,125,71,11
317,126,124,114,132,104,43,40
297,113,142,118,124,127,43,36
312,119,168,101,115,100,42,43
321,127,141,92,102,102,85,30
284,119,168,93,105,86,119,26
265,120,183,100,140,87,67,38
278,88,161,112,112,106,108,35
321,95,145,86,106,100,98,49
324,95,159,66,114,127,86,29
355,59,175,71,107,94,100,39
420,50,172,51,89,78,98,42
342,63,188,65,104,102,90,46
364,74,171,69,119,90,63,50
320,87,162,86,132,83,67,63
314,92,126,86,159,70,128,25
306,80,152,101,133,90,103,35
304,94,181,88,129,87,99,18
273,83,197,117,109,89,41,91
310,89,179,102,116,97,49,58
305,123,173,90,120,97,78,14
288,93,197,94,147,63,71,47
306,98,181,83,139,57,94,42
353,73,194,107,91,56,46,80
359,67,202,92,96,65,51,68
371,70,198,84,107,67,64,39
389,48,183,75,108,97,50,50
428,51,186,59,95,67,37,77
363,74,206,54,108,66,70,59
377,60,191,64,129,62,39,78
379,60,203,82,105,73,50,48
332,57,214,84,132,84,48,49
369,45,195,49,126,105,79,32
327,86,189,65,106,120,79,28
331,57,195,60,125,102,55,75
354,45,207,53,111,76,49,105
363,60,214,80,104,66,67,46
345,66,208,62,102,116,51,50
340,58,214,72,124,97,62,33
348,73,184,69,131,121,50,24
324,60,203,76,121,110,72,34
352,45,174,73,130,109,73,44
362,66,183,84,109,97,58,41
341,52,206,62,115,100,67,57
382,61,203,58,93,69,78,56
370,55,202,68,97,94,71,43
391,99,170,50,97,61,44,88
363,76,197,54,104,79,51,76
378,58,180,80,108,76,57,63
371,39,191,128,54,78,40,99
347,44,185,120,62,66,58,118
333,47,160,67,113,113,70,97
308,46,155,93,118,124,64,92
302,70,164,58,139,74,91,102
343,57,174,79,109,73,69,96
354,54,187,71,81,69,88,96
385,79,180,62,75,84,75,60
416,55,180,65,53,76,85,70
405,63,167,75,55,72,95,68
389,50,151,65,63,79,106,97
397,42,155,55,110,69,84,88
389,56,155,52,73,98,94,83
344,53,173,65,111,94,94,66
373,87,154,51,95,65,107,68
480,67,196,51,47,48,91,20
475,53,201,39,54,52,109,17
474,66,201,55,43,53,82,26
508,42,196,43,43,57,86,25
438,52,193,41,52,56,105,63
423,36,181,48,45,75,92,100
397,64,167,40,59,90,82,101
388,50,173,37,63,105,80,104
390,70,175,35,55,82,97,96
381,72,177,50,54,83,99,84
378,53,189,50,51,82,118,79
393,59,181,40,56,71,108,92
444,41,192,43,40,54,108,78
438,68,171,40,36,66,114,67
404,72,163,31,35,91,115,89
311,78,169,42,83,109,115,93
348,55,195,45,44,85,120,108
320,62,193,48,71,88,116,102
308,59,167,50,101,106,107,102
332,64,178,54,77,96,103,96
