server,bus1,bus2,bus3,bus4,bus5,bus6,bus7
452,66,99,48,63,116,62,94
549,34,173,95,20,87,27,15
502,34,168,76,44,132,28,16
485,34,148,71,58,117,49,38
455,32,131,68,60,114,61,79
403,60,120,69,52,115,80,101
366,124,152,39,32,129,83,75
294,102,157,76,76,140,55,100
271,111,178,41,50,129,116,104
250,116,161,59,66,124,125,99
260,107,186,59,71,130,128,59
268,111,193,65,71,117,111,64
348,91,158,71,59,133,66,74
261,111,179,112,87,126,54,70
236,115,179,119,92,125,65,69
210,106,192,106,88,136,94,68
162,115,206,105,91,148,75,98
235,110,206,95,101,109,65,79
217,126,201,89,71,104,63,129
257,127,203,70,39,90,89,125
218,135,211,99,71,96,76,94
179,131,213,109,64,117,58,129
158,135,211,92,92,122,57,133
175,132,210,116,95,130,15,127
208,130,214,72,110,96,70,100
214,123,207,82,111,96,65,102
252,121,201,80,110,79,67,90
220,135,192,84,93,95,52,129
201,136,174,84,99,96,71,139
182,133,206,59,95,92,91,142
179,125,197,101,108,116,55,119
165,122,196,85,117,113,77,125
146,138,206,97,135,119,56,103
183,123,191,87,117,114,76,109
153,122,201,102,120,124,62,116
146,138,194,77,118,91,109,127
149,131,185,93,121,94,105,122
164,128,172,97,119,77,128,115
133,132,180,118,114,100,113,110
149,143,168,129,119,123,69,100
114,140,164,135,135,124,88,100
112,143,147,136,125,115,115,107
97,141,171,139,124,103,125,100
172,130,196,108,99,91,110,94
134,145,187,123,117,97,115,82
79,159,183,123,125,123,111,97
73,153,186,116,136,123,107,106
89,150,197,115,125,131,89,104
104,147,196,112,133,123,91,94
106,145,192,102,134,116,102,103
93,152,181,109,143,117,107,98
81,150,175,122,141,132,87,112
79,162,186,118,138,139,89,89
93,157,172,101,136,138,88,115
97,149,188,95,135,127,96,113
84,146,193,95,137,127,110,108
90,146,166,95,140,137,108,118
68,150,196,112,138,138,71,127
84,148,194,114,131,138,72,119
95,150,192,107,126,130,86,114
78,159,191,109,138,132,95,98
110,140,181,99,125,119,109,117
109,151,170,93,127,126,115,109
87,152,174,97,130,138,113,109
89,138,188,88,131,143,113,110
84,128,174,90,130,156,129,109
85,133,176,96,125,147,128,110
97,123,178,95,132,151,109,115
102,118,181,112,120,145,109,113
82,121,183,100,139,145,113,117
66,128,188,96,128,149,123,122
54,134,177,95,128,145,137,130
65,137,168,112,107,133,139,139
59,151,161,116,122,141,120,130
53,149,169,123,122,145,122,117
76,152,189,111,130,145,100,97
78,123,184,116,120,139,127,113
70,125,195,108,128,150,127,97
86,128,183,102,126,143,122,110
80,120,191,108,133,134,122,112
50,147,184,111,127,117,117,147
45,151,182,108,142,116,119,137
61,154,186,104,125,109,112,149
50,155,167,120,146,113,113,136
61,142,182,102,148,113,117,135
61,152,193,95,136,112,109,142
71,149,182,89,152,111,113,133
68,147,190,86,139,115,116,139
107,111,203,79,129,120,123,128
67,116,202,95,122,141,130,127
53,122,189,102,129,140,128,137
41,133,187,105,147,126,127,134
50,143,182,106,146,130,116,127
99,125,193,100,101,127,128,127
72,125,189,97,134,135,131,117
102,106,195,84,121,143,131,118
71,117,196,87,129,150,133,117
75,104,196,84,126,153,139,123
82,113,206,89,113,133,124,140
79,117,202,87,126,126,127,136
