server,bus1,bus2,bus3
555,136,141,168
476,122,224,178
519,127,182,172
553,137,158,152
520,147,182,151
512,144,193,151
528,127,199,146
534,135,185,146
520,136,185,159
530,139,181,150
510,152,183,155
527,115,197,161
474,158,200,168
511,139,193,157
510,158,188,144
514,162,187,137
518,163,191,128
541,145,190,124
518,144,207,131
528,147,206,119
503,159,210,128
530,156,211,103
516,162,204,118
516,155,209,120
521,153,204,122
512,152,214,122
540,139,213,108
515,150,203,132
522,152,209,117
540,149,208,103
500,159,204,137
524,160,202,114
497,164,201,138
517,164,200,119
520,165,204,111
511,163,207,119
504,164,205,127
510,166,203,121
527,155,198,120
506,167,190,137
530,156,196,118
539,150,196,115
526,142,187,145
537,144,197,122
533,147,200,120
520,154,195,131
522,147,196,135
528,147,191,134
526,148,188,138
521,135,191,153
530,140,191,139
515,151,187,147
515,144,196,145
513,155,188,144
528,155,179,138
537,151,188,124
530,149,191,130
527,156,180,137
539,152,183,126
526,149,186,139
524,155,187,134
524,151,188,137
509,157,191,143
509,161,174,156
531,148,190,131
524,144,196,136
530,144,186,140
531,138,195,136
520,139,193,148
541,135,185,139
537,133,192,138
538,137,191,134
527,139,193,141
519,136,194,151
523,135,200,142
526,139,186,149
524,137,198,141
530,136,189,145
524,143,188,145
529,147,176,148
546,147,168,139
537,152,168,143
538,151,176,135
536,145,174,145
543,152,181,124
549,149,167,135
536,146,196,122
542,149,177,132
530,147,193,130
536,147,174,143
545,153,164,138
541,149,179,131
535,143,188,134
528,142,188,142
536,149,181,134
521,145,179,155
525,142,192,141
525,146,183,146
543,150,157,150
526,146,186,142
