server,bus1,bus2,bus3
579,133,197,91
504,152,201,143
492,162,215,131
547,143,199,111
529,159,193,119
533,168,176,123
527,146,195,132
539,145,185,131
528,146,190,136
538,151,196,115
506,154,196,144
518,142,181,159
507,164,181,148
520,157,188,135
519,160,188,133
519,163,190,128
508,166,177,149
522,151,170,157
509,159,175,157
517,155,174,154
517,165,173,145
534,166,173,127
528,165,185,122
535,168,156,141
539,163,160,138
535,155,160,150
535,155,182,128
544,163,161,132
533,160,179,128
544,161,175,120
543,164,149,144
526,165,158,151
532,161,166,141
536,163,163,138
549,163,154,134
547,157,161,135
528,157,170,145
543,152,170,135
526,146,188,140
548,137,165,150
552,165,135,148
548,151,156,145
545,144,167,144
547,152,159,142
552,161,141,146
537,155,162,146
548,158,154,140
547,156,166,131
546,149,160,145
547,145,167,141
550,138,165,147
533,151,174,142
531,157,160,152
532,151,177,140
527,147,171,155
544,148,150,158
540,150,151,159
534,141,157,168
536,135,168,161
544,143,164,149
548,143,146,163
539,153,140,168
527,150,160,163
520,142,174,164
548,140,140,172
538,144,153,165
530,132,176,162
545,140,149,166
543,131,161,165
546,118,166,170
549,119,167,165
547,127,161,165
540,132,166,162
538,130,171,161
539,136,156,169
544,130,157,169
553,140,137,170
539,135,165,161
537,140,153,170
539,132,173,156
540,151,160,149
552,137,162,149
551,142,151,156
540,147,154,159
551,138,145,166
544,153,149,154
548,132,160,160
539,157,156,148
548,130,156,166
531,150,177,142
546,140,152,162
553,136,141,170
543,146,143,168
532,137,181,150
534,160,148,158
536,139,171,154
533,142,160,165
534,146,171,149
540,141,165,154
545,130,175,150
