server,bus1,bus2,bus3
528,178,180,114
544,95,190,171
552,127,203,118
543,137,191,129
536,147,191,126
534,143,184,139
534,126,197,143
526,113,199,162
533,121,200,146
528,118,196,158
526,138,191,145
528,152,182,138
540,130,195,135
540,137,186,137
538,122,191,149
527,116,197,160
547,109,191,153
531,116,199,154
543,117,195,145
543,125,198,134
544,117,199,140
544,112,199,145
523,128,198,151
528,122,206,144
533,112,203,152
535,128,202,135
532,133,196,139
542,118,206,134
540,116,196,148
537,118,202,143
543,119,196,142
543,112,202,143
535,126,197,142
536,117,192,155
531,139,190,140
542,143,177,138
535,138,196,131
528,141,204,127
534,133,192,141
536,134,201,129
550,137,204,109
527,144,193,136
537,146,178,139
535,149,182,134
547,150,197,106
531,140,197,132
538,145,189,128
533,132,191,144
534,134,198,134
531,132,198,139
525,140,194,141
527,140,188,145
527,140,199,134
524,156,173,147
531,149,181,139
537,153,191,119
529,152,194,125
523,157,194,126
525,148,201,126
533,153,193,121
525,158,198,119
525,156,198,121
521,154,188,137
503,161,194,142
528,139,210,123
530,133,203,134
531,124,195,150
529,137,190,144
520,131,196,153
517,136,204,143
519,137,207,137
511,146,215,128
504,142,209,145
507,159,219,115
522,141,210,127
528,142,210,120
519,134,214,133
486,139,217,158
506,121,211,162
515,129,203,153
539,101,207,153
530,100,211,159
533,103,208,156
528,111,207,154
524,101,215,160
540,109,210,141
524,102,206,168
544,103,201,152
511,104,209,176
541,103,201,155
527,106,209,158
536,94,209,161
540,107,204,149
524,102,201,173
534,106,210,150
534,91,195,180
534,100,199,167
542,88,203,167
544,91,202,163
536,106,198,160
