server,bus1,bus2,bus3,bus4,bus5
261,179,134,145,159,122
512,69,115,84,45,175
553,71,106,115,75,80
542,119,126,76,24,113
532,99,124,99,14,132
531,108,138,108,17,98
471,108,175,73,31,142
453,103,154,110,54,126
446,129,165,96,42,122
446,130,163,98,34,129
452,139,169,89,20,131
426,143,168,77,63,123
442,140,168,98,22,130
434,145,162,83,52,124
393,153,169,73,99,113
407,153,175,75,76,114
408,143,182,73,66,128
442,138,174,72,53,121
428,129,178,73,70,122
418,128,188,61,104,101
439,130,191,75,47,118
441,121,185,47,91,115
409,127,191,84,60,129
404,132,193,77,57,137
351,123,196,95,92,143
346,118,190,97,101,148
361,123,180,100,107,129
370,127,184,89,108,122
388,112,174,89,113,124
338,120,191,101,121,129
344,132,183,110,104,127
303,143,174,135,100,145
270,120,192,145,118,155
278,107,201,136,127,151
258,110,210,131,136,155
272,119,209,129,122,149
293,120,212,124,105,146
273,122,214,128,109,154
271,114,210,133,120,152
272,96,204,141,142,145
267,122,206,131,129,145
282,126,200,126,116,150
301,117,211,123,105,143
317,124,215,112,100,132
315,126,215,105,105,134
278,129,208,122,120,143
282,133,209,121,119,136
275,126,213,130,126,130
292,132,216,109,119,132
278,129,212,122,124,135
264,136,214,134,128,124
256,138,214,145,133,114
269,140,213,132,128,118
279,134,210,136,119,122
275,132,213,129,119,132
279,127,212,133,114,135
250,139,205,149,131,126
244,142,198,143,136,137
268,141,183,146,137,125
263,156,189,139,128,125
253,150,198,142,125,132
248,148,179,142,138,145
261,143,175,152,133,136
250,152,192,144,132,130
223,146,198,144,144,145
190,139,189,163,158,161
220,139,203,152,148,138
210,142,198,165,144,141
239,128,198,161,141,133
254,124,206,145,140,131
208,136,209,156,144,147
232,139,204,147,140,138
236,141,199,152,143,129
205,152,193,172,145,133
206,155,195,165,143,136
201,154,196,165,142,142
208,151,205,155,144,137
214,152,200,164,139,131
195,159,199,165,137,145
246,152,205,134,142,121
276,143,211,116,135,119
271,139,214,124,137,115
279,141,214,116,135,115
256,150,207,125,139,123
245,157,216,126,137,119
240,156,208,135,137,124
241,155,206,132,147,119
239,156,208,134,142,121
238,154,208,142,136,122
203,151,208,154,138,146
230,148,214,147,132,129
215,155,212,146,138,134
228,159,208,138,134,133
234,155,204,146,135,126
218,156,204,149,140,133
221,149,205,149,137,139
222,139,209,152,130,148
221,136,209,155,136,143
260,136,208,134,125,137
244,145,211,139,128,133
