server,bus1,bus2
724,90,186
619,160,221
601,177,222
606,175,219
596,180,224
618,170,212
597,182,221
602,168,230
624,159,217
600,166,234
620,172,208
570,178,252
633,175,192
602,178,220
598,180,222
600,177,223
596,178,226
559,175,266
529,164,307
523,190,287
562,188,250
615,181,204
619,184,197
640,186,174
639,186,175
402,192,406
327,189,484
329,197,474
510,189,301
659,187,154
691,174,135
702,189,109
697,187,116
719,195,86
695,236,69
681,162,157
584,182,234
636,177,187
617,165,218
587,189,224
625,194,181
569,167,264
548,190,262
284,235,481
612,121,267
700,180,120
660,219,121
622,175,203
552,203,245
577,157,266
598,202,200
652,172,176
639,186,175
593,181,226
573,204,223
652,170,178
626,183,191
604,180,216
556,178,266
536,181,283
555,182,263
557,186,257
552,196,252
530,181,289
644,177,179
697,167,136
676,158,166
694,153,153
690,161,149
581,185,234
631,191,178
596,191,213
605,197,198
664,180,156
652,177,171
621,171,208
634,148,218
638,149,213
600,161,239
532,224,244
603,217,180
541,226,233
604,173,223
639,147,214
594,182,224
584,194,222
558,223,219
656,138,206
646,141,213
601,181,218
566,184,250
596,179,225
633,169,198
613,173,214
606,179,215
605,182,213
595,182,223
603,181,216
578,183,239
598,166,236
