server,bus1,bus2,bus3
452,145,207,196
554,138,163,145
477,177,214,132
449,177,204,170
480,173,194,153
485,168,201,146
498,162,189,151
448,151,218,183
470,163,213,154
438,157,219,186
467,159,213,161
460,148,220,172
508,149,221,122
438,144,218,200
475,171,219,135
437,164,221,178
478,162,217,143
450,168,211,171
488,169,217,126
451,167,217,165
488,153,218,141
462,158,219,161
445,162,216,177
452,156,220,172
454,166,221,159
457,167,218,158
467,168,217,148
478,166,220,136
453,167,216,164
448,177,221,154
451,176,214,159
459,160,221,160
452,163,214,171
447,162,215,176
431,167,221,181
457,169,216,158
460,171,214,155
437,175,222,166
442,165,219,174
465,169,214,152
457,178,221,144
434,176,215,175
465,157,220,158
461,158,213,168
466,167,221,146
440,169,216,175
459,175,218,148
442,167,220,171
448,168,216,168
435,172,218,175
449,172,218,161
441,167,217,175
438,175,219,168
458,165,215,162
427,176,217,180
467,166,219,148
456,177,220,147
443,169,232,156
462,177,190,171
460,169,214,157
446,174,225,155
453,171,217,159
460,171,208,161
424,172,252,152
484,169,185,162
463,163,213,161
453,155,231,161
462,165,195,178
456,149,218,177
464,142,217,177
444,158,218,180
455,157,218,170
445,163,215,177
445,163,218,174
459,169,215,157
429,172,218,181
436,178,216,170
410,176,219,195
437,179,212,172
444,165,215,176
471,166,211,152
482,150,210,158
464,163,206,167
464,166,216,154
445,164,213,178
458,171,215,156
436,146,219,199
474,169,213,144
431,152,217,200
458,170,217,155
467,161,209,163
440,166,215,179
450,167,212,171
430,166,216,188
461,172,215,152
449,169,211,171
431,170,211,188
430,177,221,172
460,168,215,157
453,155,208,184
