server,bus1,bus2,bus3,bus4
281,157,210,186,166
506,80,146,120,148
552,125,39,147,137
475,81,182,78,184
463,94,156,122,165
479,100,124,140,157
458,24,200,158,160
464,22,202,154,158
465,52,194,140,149
447,124,137,139,153
468,135,123,132,142
454,132,132,152,130
519,86,131,146,118
454,15,194,161,176
438,32,219,154,157
430,90,191,131,158
475,42,175,143,165
430,116,163,138,153
508,72,124,137,159
495,23,215,137,130
493,18,206,134,149
474,87,180,127,132
476,76,179,143,126
292,287,189,141,91
513,17,187,117,166
474,22,212,151,141
469,41,211,140,139
472,31,214,134,149
468,113,135,145,139
478,136,103,147,136
480,76,139,155,150
425,26,224,157,168
403,22,266,154,155
199,75,293,200,233
352,309,53,155,131
518,136,15,151,180
495,135,26,165,179
425,58,177,171,169
442,19,225,160,154
434,82,157,168,159
414,56,177,178,175
401,145,103,171,180
448,122,100,162,168
469,95,152,136,148
421,76,209,148,146
404,94,208,152,142
387,90,198,163,162
345,126,209,158,162
339,133,203,161,164
323,134,211,160,172
312,147,212,161,168
321,131,207,170,171
319,134,208,165,174
318,141,207,166,168
303,146,212,169,170
303,149,208,172,168
294,146,213,170,177
324,134,211,161,170
329,129,213,163,166
310,148,212,164,166
293,150,215,170,172
290,153,216,168,173
328,135,211,162,164
323,148,207,154,168
307,143,218,162,170
296,149,212,165,178
222,185,241,161,191
238,172,325,193,72
423,162,144,74,197
483,56,170,122,169
292,143,218,171,176
312,145,214,164,165
309,148,212,167,164
294,157,208,170,171
321,146,207,163,163
283,156,214,174,173
284,156,214,173,173
300,148,211,171,170
300,147,216,166,171
323,138,210,165,164
323,152,213,153,159
335,140,214,147,164
319,153,216,152,160
312,149,213,161,165
298,153,217,165,167
303,153,215,162,167
297,156,215,162,170
304,152,212,163,169
295,152,215,167,171
290,157,213,170,170
297,158,216,161,168
291,157,214,166,172
298,157,209,166,170
300,155,209,168,168
297,156,209,167,171
301,153,205,171,170
295,156,212,168,169
285,158,214,169,174
317,141,209,165,168
313,149,213,161,164
