server,bus1,bus2,bus3,bus4,bus5,bus6,bus7
335,113,105,76,114,138,43,76
464,105,153,75,46,97,50,10
395,50,125,110,46,142,121,11
414,17,114,104,102,129,109,11
407,70,132,93,25,136,126,11
372,79,164,59,28,128,140,30
306,88,135,92,77,122,106,74
322,79,146,87,68,143,143,12
263,90,156,97,98,139,145,12
214,94,151,135,121,145,133,7
297,76,156,90,130,106,130,15
269,89,136,92,102,138,118,56
300,112,148,57,87,103,127,66
128,115,179,120,107,134,148,69
114,105,187,118,80,147,155,94
110,116,179,128,86,143,146,92
115,130,185,124,92,129,135,90
155,120,184,112,87,129,125,88
136,111,182,127,59,141,144,100
154,122,167,134,65,146,138,74
133,131,164,128,102,125,142,75
76,112,161,145,120,142,152,92
78,123,169,131,118,141,156,84
87,114,180,129,95,135,157,103
102,103,163,112,129,132,155,104
93,127,172,112,110,126,160,100
124,112,171,109,115,118,143,108
127,116,176,117,106,129,138,91
102,128,172,137,118,131,123,89
106,129,161,143,110,125,130,96
81,137,164,129,127,125,149,88
61,140,176,134,115,104,158,112
64,142,187,117,109,109,147,125
88,144,153,116,118,115,152,114
68,131,181,126,110,121,150,113
47,147,167,132,120,129,148,110
53,145,162,119,130,124,155,112
79,151,161,125,129,97,150,108
56,149,173,123,131,115,152,101
68,154,168,109,129,110,154,108
40,166,141,114,120,107,169,143
62,141,140,127,117,125,147,141
93,133,178,125,105,118,142,106
112,130,197,116,108,108,145,84
72,122,204,126,115,98,146,117
55,139,194,136,125,99,134,118
61,114,191,124,128,128,136,118
70,122,181,107,99,129,154,138
66,134,187,103,100,127,150,133
59,132,179,92,114,134,157,133
40,143,180,101,125,134,146,131
43,152,180,107,116,123,143,136
48,155,182,103,105,125,143,139
54,145,198,105,101,114,141,142
47,142,204,117,103,117,140,130
42,136,192,108,107,128,153,134
52,132,194,115,83,122,156,146
42,140,205,121,88,127,148,129
57,143,210,129,93,113,146,109
81,151,199,110,100,103,142,114
42,144,202,114,116,114,148,120
59,125,181,127,121,126,140,121
80,135,179,109,91,126,150,130
70,133,174,116,103,128,152,124
60,137,162,109,97,132,156,147
47,119,174,125,119,111,162,143
61,126,167,130,106,132,135,143
60,129,176,122,113,116,139,145
69,132,168,139,119,112,125,136
77,135,149,136,119,123,123,138
67,135,156,126,119,126,127,144
55,130,169,113,124,127,141,141
68,145,183,106,116,123,131,128
57,143,184,122,109,112,133,140
36,131,193,119,125,130,139,127
45,134,198,130,126,109,133,125
44,137,193,140,112,121,130,123
41,144,177,134,118,126,127,133
70,135,184,128,105,120,129,129
69,137,176,134,109,125,132,118
42,106,212,93,111,154,155,127
52,88,207,94,107,156,144,152
47,97,206,111,122,142,145,130
38,112,211,94,126,155,128,136
28,104,216,123,118,152,124,135
24,103,214,131,121,154,110,143
48,89,157,138,146,139,134,149
36,103,177,142,139,139,115,149
45,85,186,134,150,141,145,114
44,86,205,127,142,133,147,116
38,86,203,133,130,138,134,138
31,91,208,128,135,137,133,137
37,99,204,118,132,143,119,148
60,90,202,132,138,138,139,101
36,101,202,130,149,150,131,101
65,84,204,134,147,133,141,92
51,96,207,107,141,139,139,120
52,74,211,134,144,126,151,108
57,97,215,124,119,129,143,116
49,74,211,116,121,143,149,137
