server,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8
252,28,95,133,68,113,114,80,117
446,125,171,10,45,58,88,30,27
524,81,20,85,61,62,29,93,45
500,106,10,135,40,15,12,118,64
494,132,38,127,14,13,50,82,50
453,130,76,89,19,54,45,101,33
487,81,86,56,26,15,64,143,42
529,47,133,16,28,65,80,90,12
484,55,87,48,82,11,99,123,11
468,89,43,93,48,13,105,133,8
408,135,25,141,22,9,111,135,14
422,67,55,131,34,13,105,139,34
483,88,65,104,67,29,59,96,9
460,85,59,120,34,79,82,72,9
373,117,33,145,111,14,93,98,16
410,116,60,132,29,15,116,108,14
368,98,82,135,39,41,100,122,15
409,35,51,123,40,15,93,124,110
305,80,101,124,30,50,121,141,48
284,112,129,122,27,60,136,120,10
317,101,135,127,35,16,128,123,18
236,128,156,124,19,39,126,147,25
262,100,136,132,46,32,133,147,12
285,102,123,126,32,48,122,150,12
314,98,119,99,28,80,119,124,19
306,106,121,110,30,36,112,138,41
318,117,144,108,28,32,90,153,10
272,119,151,93,39,55,103,162,6
255,118,134,93,55,79,106,154,6
266,118,120,92,57,86,98,152,11
224,121,116,116,53,101,97,158,14
272,128,129,112,46,91,96,107,19
197,128,122,120,69,88,111,135,30
169,136,98,127,83,70,113,163,41
174,126,114,139,109,81,121,124,12
111,144,153,133,83,116,117,131,12
90,122,163,110,71,124,144,142,34
139,125,147,117,70,119,140,133,10
159,121,125,133,76,105,134,135,12
143,133,111,149,81,110,125,119,29
135,109,149,127,87,66,141,129,57
111,99,155,125,94,83,141,136,56
139,112,146,117,92,82,110,142,60
134,119,154,112,94,82,111,110,84
138,102,158,99,94,87,112,120,90
106,106,162,113,80,115,96,138,84
132,124,159,99,64,77,102,145,98
117,113,173,92,77,90,110,146,82
81,117,166,91,79,101,133,144,88
89,115,164,97,93,99,125,137,81
67,109,162,107,106,95,130,126,98
78,115,153,80,103,116,124,119,112
80,98,163,99,100,112,128,115,105
85,89,158,106,80,100,143,137,102
58,100,160,116,115,100,130,133,88
67,116,170,87,101,99,114,127,119
73,119,158,107,101,89,124,121,108
90,93,158,100,106,78,137,116,122
107,108,143,92,123,98,117,99,113
77,104,147,120,107,100,120,118,107
69,109,137,101,103,98,134,134,115
72,118,139,112,108,99,119,122,111
103,108,173,106,99,81,104,125,101
93,114,153,115,77,96,106,139,107
49,106,145,119,94,100,127,140,120
68,97,153,123,108,86,118,128,119
78,106,158,116,101,87,121,123,110
69,102,156,130,121,109,109,119,85
80,115,173,117,113,103,93,120,86
69,110,172,101,112,106,94,124,112
73,98,180,110,119,72,113,133,102
80,77,178,101,119,81,130,136,98
87,100,169,105,115,90,115,117,102
82,95,154,115,107,100,112,115,120
49,108,162,112,108,98,131,131,101
61,129,163,106,107,93,102,124,115
58,134,158,121,99,105,96,134,95
63,124,161,117,104,117,94,110,110
72,122,177,118,97,88,96,118,112
74,134,160,114,78,100,86,136,118
63,175,115,161,60,118,120,124,64
63,169,105,150,55,121,116,123,98
63,178,115,161,54,121,118,116,74
52,175,100,173,51,134,117,121,77
67,159,138,168,45,130,94,105,94
62,150,109,178,60,146,93,108,94
97,152,149,173,37,132,48,102,110
82,134,148,178,49,147,56,96,110
87,145,168,170,40,143,49,87,111
125,124,172,173,29,134,36,89,118
94,127,181,162,35,127,57,85,132
60,152,144,181,41,139,70,90,123
62,153,108,181,62,141,104,84,105
137,144,157,165,44,142,32,48,131
138,120,183,163,32,142,25,60,137
140,126,167,159,40,139,43,64,122
108,121,182,162,27,137,43,86,134
122,112,175,162,30,137,43,84,135
90,113,172,157,46,134,71,105,112
114,153,136,164,52,125,78,90,88
