server,bus1,bus2,bus3
519,137,169,175
512,138,184,166
543,125,169,163
539,153,158,150
537,158,141,164
536,164,136,164
534,145,152,169
537,165,135,163
536,145,157,162
528,174,137,161
537,137,156,170
537,155,152,156
526,141,167,166
528,153,167,152
526,153,164,157
528,153,169,150
540,125,178,157
533,148,174,145
546,127,162,165
546,142,163,149
552,110,180,158
539,144,170,147
524,157,163,156
546,153,145,156
535,145,156,164
539,139,159,163
533,140,187,140
544,141,164,151
536,137,171,156
536,129,175,160
540,122,176,162
542,130,165,163
525,140,177,158
524,149,172,155
534,136,174,156
558,129,154,159
541,134,169,156
548,124,170,158
543,138,175,144
544,126,177,153
557,110,172,161
553,137,153,157
535,143,170,152
531,130,181,158
550,108,185,157
523,125,186,166
537,133,176,154
547,132,177,144
528,130,184,158
528,137,184,151
532,130,183,155
535,129,175,161
534,128,175,163
527,143,176,154
530,136,173,161
529,128,179,164
524,133,178,165
522,136,182,160
530,131,180,159
534,129,174,163
533,120,180,167
534,116,183,167
518,140,187,155
500,151,194,155
528,125,190,157
525,122,197,156
522,134,196,148
524,127,189,160
527,127,189,157
533,120,191,156
536,126,193,145
537,113,199,151
532,111,202,155
525,121,197,157
528,101,205,166
523,118,203,156
532,109,203,156
525,106,219,150
534,112,206,148
534,117,208,141
533,116,188,163
551,110,201,138
549,101,204,146
543,115,189,153
553,97,199,151
556,110,182,152
537,83,229,151
4,15,742,239
0,0,758,242
0,0,760,240
0,0,760,240
0,0,758,242
0,0,760,240
0,0,762,238
0,0,759,241
0,0,759,241
0,0,760,240
0,0,759,241
0,0,761,239
0,0,761,239
