server,bus1,bus2,bus3,bus4,bus5,bus6
316,139,121,72,136,38,178
514,110,209,51,36,49,31
496,126,14,134,143,69,18
494,139,33,79,95,70,90
500,57,150,118,131,22,22
505,55,113,119,135,49,24
533,54,74,62,137,107,33
513,77,44,59,136,99,72
479,120,98,22,127,43,111
439,133,63,24,132,106,103
409,105,86,95,135,125,45
375,113,76,135,141,136,24
360,124,81,119,136,135,45
352,119,82,105,136,137,69
357,118,88,92,131,129,85
356,128,78,89,127,125,97
366,124,73,98,120,117,102
359,125,74,101,131,119,91
339,117,116,74,127,123,104
307,117,163,71,114,124,104
258,146,177,86,89,114,130
253,143,168,89,103,123,121
240,126,180,84,98,135,137
257,133,169,72,110,127,132
311,118,143,77,122,102,127
315,119,156,72,109,104,125
308,119,169,72,107,104,121
281,129,179,66,106,112,127
277,134,186,72,113,112,106
244,133,200,76,110,120,117
228,140,202,71,118,120,121
206,135,199,77,133,132,118
215,128,203,82,133,130,109
238,135,187,101,121,118,100
221,145,200,78,124,124,108
232,153,185,74,132,111,113
185,144,200,71,131,134,135
157,154,201,89,132,141,126
155,157,206,88,138,139,117
166,148,203,91,130,147,115
147,147,201,101,146,131,127
162,153,202,82,143,128,130
163,152,203,79,141,125,137
173,148,209,89,120,127,134
158,151,210,104,124,120,133
156,145,208,96,130,139,126
147,137,207,107,137,141,124
137,142,211,108,139,137,126
150,142,206,116,134,133,119
154,145,206,116,136,129,114
131,140,192,121,151,133,132
153,136,198,110,144,121,138
137,147,210,113,137,141,115
139,144,210,116,132,129,130
144,138,209,107,138,123,141
138,132,207,103,139,137,144
137,129,200,110,142,137,145
126,132,205,107,134,149,147
131,143,202,106,130,140,148
128,144,198,105,132,139,154
112,146,211,107,136,142,146
140,149,210,100,135,132,134
178,130,198,98,130,133,133
173,126,207,96,130,138,130
161,129,212,102,116,136,144
140,128,215,114,120,140,143
154,127,218,113,116,136,136
146,126,209,99,155,145,120
168,115,210,108,138,154,107
150,120,214,107,146,132,131
145,132,214,109,145,130,125
173,145,216,94,121,136,115
168,136,202,101,128,135,130
139,142,213,88,131,161,126
127,141,213,96,131,152,140
141,130,212,89,133,155,140
114,133,208,110,154,144,137
123,137,214,119,136,130,141
125,139,214,130,127,125,140
136,156,215,107,131,126,129
123,146,217,115,124,105,170
106,145,217,117,134,120,161
120,145,218,115,131,101,170
107,150,216,114,130,114,169
91,150,217,116,140,118,168
97,151,219,117,148,114,154
124,145,216,114,143,107,151
109,151,217,119,149,112,143
112,146,217,115,143,120,147
97,144,216,128,123,128,164
100,144,218,127,119,127,165
93,147,217,130,132,114,167
90,149,216,118,138,129,160
104,147,214,112,134,130,159
92,150,215,120,133,130,160
104,139,213,128,123,128,165
100,131,215,129,122,138,165
104,124,217,135,121,131,168
108,123,216,133,133,130,157
112,138,217,126,131,121,155
