server,bus1,bus2,bus3,bus4,bus5
531,71,132,106,105,55
527,90,80,149,111,43
464,64,179,148,121,24
450,73,137,152,146,42
451,84,126,154,141,44
461,106,87,143,136,67
486,121,79,132,137,45
471,69,112,134,123,91
440,109,90,127,137,97
403,112,110,125,133,117
362,125,111,123,142,137
370,125,87,123,146,149
357,128,94,134,150,137
340,128,124,137,142,129
311,131,139,145,145,129
328,125,134,134,147,132
305,122,136,147,141,149
350,111,125,134,143,137
326,111,124,145,157,137
336,135,115,138,146,130
336,131,132,131,137,133
322,136,141,138,129,134
300,130,156,141,128,145
311,126,164,142,124,133
313,121,161,135,132,138
323,117,146,134,136,144
336,132,146,116,135,135
350,127,152,111,138,122
330,133,149,121,129,138
301,125,157,133,140,144
272,138,167,139,137,147
258,147,152,145,146,152
243,125,168,157,158,149
283,119,157,149,148,144
245,124,175,157,150,149
285,120,147,143,148,157
279,118,153,149,146,155
236,130,162,163,150,159
251,127,170,153,133,166
252,124,173,151,140,160
249,127,165,150,149,160
251,133,161,146,148,161
265,137,169,130,136,163
289,136,191,123,125,136
276,140,200,122,121,141
253,135,198,130,137,147
248,137,199,137,137,142
248,138,202,130,143,139
246,136,199,136,141,142
225,138,206,135,142,154
210,144,204,143,147,152
190,148,206,148,152,156
193,163,204,139,146,155
206,162,214,135,138,145
226,152,212,127,146,137
209,150,210,125,148,158
206,144,213,133,148,156
203,144,202,145,144,162
206,143,202,160,139,150
205,158,194,154,143,146
199,158,212,139,143,149
194,157,204,140,149,156
227,146,198,147,134,148
215,149,203,141,138,154
206,135,210,152,144,153
182,124,210,168,155,161
210,123,209,145,150,163
219,124,209,142,150,156
238,117,204,144,145,152
226,125,207,143,152,147
197,161,202,140,157,143
213,159,209,140,147,132
206,168,208,137,147,134
184,167,206,139,150,154
196,163,204,132,154,151
193,152,197,143,157,158
185,145,205,151,159,155
181,148,195,156,161,159
190,160,202,135,160,153
212,156,206,135,144,147
199,164,201,126,142,168
192,162,203,123,150,170
205,162,201,123,143,166
189,164,202,128,147,170
190,162,193,129,149,177
188,164,197,126,151,174
182,161,208,115,164,170
179,162,201,130,159,169
179,162,200,127,158,174
182,161,193,125,167,172
184,154,206,124,162,170
182,160,203,113,167,175
175,159,201,135,157,173
191,153,194,127,159,176
186,149,199,130,163,173
188,151,196,130,161,174
201,150,193,124,164,168
189,155,196,121,168,171
217,147,184,122,160,170
191,153,199,136,149,172
