server,bus1,bus2,bus3,bus4,bus5
283,104,139,192,100,182
455,76,127,111,85,146
536,60,138,79,141,46
518,92,139,134,53,64
524,87,151,126,25,87
530,96,127,102,25,120
509,89,163,71,35,133
501,95,136,62,66,140
474,105,169,72,60,120
471,124,147,104,54,100
437,124,151,82,103,103
407,107,185,66,133,102
382,111,180,92,136,99
374,123,165,66,145,127
390,131,150,70,131,128
389,124,147,106,115,119
392,129,154,112,114,99
406,101,143,112,121,117
413,103,143,88,122,131
415,97,140,99,125,124
408,116,140,120,106,110
393,121,141,132,107,106
414,102,141,127,108,108
418,108,140,116,100,118
439,116,135,115,90,105
422,108,146,111,107,106
454,105,137,104,106,94
444,109,155,98,86,108
443,108,153,98,90,108
442,108,141,100,87,122
459,87,131,110,110,103
437,89,128,130,99,117
456,78,120,125,92,129
448,78,120,133,102,119
476,78,113,117,101,115
417,84,144,133,112,110
426,96,138,130,110,100
453,100,119,105,112,111
472,96,112,97,111,112
510,83,100,105,95,107
504,74,102,116,102,102
463,86,115,114,109,113
477,67,128,117,105,106
477,69,149,105,94,106
491,57,155,113,97,87
489,72,138,104,93,104
492,64,159,105,80,100
460,56,157,127,90,110
473,52,159,140,81,95
469,65,148,146,81,91
480,64,152,107,89,108
478,60,154,120,93,95
488,76,137,99,113,87
461,71,151,102,113,102
455,61,170,95,103,116
458,55,160,121,95,111
461,84,146,119,104,86
453,52,152,120,122,101
451,47,165,118,113,106
453,64,155,126,98,104
470,81,151,106,80,112
468,88,142,111,84,107
457,95,131,109,107,101
475,98,118,101,90,118
477,97,125,95,112,94
470,88,139,91,123,89
498,74,147,87,120,74
493,57,158,87,120,85
463,70,155,85,126,101
491,72,148,67,129,93
469,88,141,78,128,96
475,97,131,97,102,98
475,94,135,91,100,105
494,92,119,91,86,118
506,86,103,96,99,110
517,67,106,104,106,100
494,61,115,127,102,101
477,66,119,123,108,107
448,78,120,109,112,133
403,102,128,123,128,116
408,88,140,132,114,118
424,78,141,127,103,127
402,84,143,130,116,125
403,93,132,130,120,122
409,93,129,133,118,118
394,101,132,134,117,122
415,88,135,110,124,128
392,100,132,128,123,125
429,92,119,126,116,118
498,50,99,133,124,96
492,64,99,116,124,105
421,88,116,133,125,117
453,80,106,133,118,110
453,77,113,124,119,114
452,78,111,125,118,116
490,54,104,133,118,101
509,47,99,125,122,98
508,46,98,128,131,89
490,47,119,124,122,98
459,81,110,132,119,99
