server,bus1,bus2,bus3,bus4,bus5
272,157,140,131,149,151
282,152,157,134,135,140
276,144,133,146,156,145
280,152,137,160,138,133
297,127,118,150,145,163
273,148,129,151,136,163
277,154,132,155,132,150
300,150,130,157,136,127
308,133,130,151,136,142
289,153,140,163,126,129
289,140,141,147,141,142
290,153,160,129,132,136
302,141,144,138,145,130
295,149,149,148,133,126
314,145,116,145,141,139
292,127,150,126,156,149
274,135,162,140,119,170
268,145,142,150,150,145
310,146,141,130,127,146
303,150,130,136,140,141
285,127,146,166,158,118
285,163,136,128,135,153
297,151,137,146,136,133
293,126,151,155,148,127
276,150,109,149,169,147
281,125,141,152,161,140
273,152,152,146,138,139
293,121,151,141,153,141
261,147,155,141,143,153
299,144,131,136,151,139
310,148,137,139,132,134
310,139,134,132,147,138
283,135,136,140,158,148
291,129,153,140,157,130
282,148,149,146,133,142
278,140,154,135,140,153
252,165,147,151,153,132
274,138,130,163,142,153
304,126,123,138,152,157
288,146,138,154,129,145
277,159,158,134,147,125
284,142,143,138,146,147
286,146,142,148,134,144
287,124,160,137,165,127
283,142,152,131,159,133
271,134,146,147,166,136
276,159,147,148,137,133
266,162,152,136,136,148
282,150,145,138,140,145
291,134,139,151,137,148
314,151,136,148,124,127
283,145,152,142,142,136
289,148,154,143,128,138
269,139,150,137,159,146
286,135,159,134,161,125
289,141,139,151,134,146
306,135,131,138,145,145
276,134,143,162,150,135
271,139,139,149,143,159
314,134,129,156,135,132
291,150,134,130,151,144
265,150,138,145,132,170
280,145,126,130,164,155
282,137,142,143,149,147
271,167,142,136,145,139
288,141,138,145,142,146
281,133,141,162,160,123
272,170,135,142,144,137
282,137,124,169,153,135
323,133,125,142,137,140
277,148,142,142,116,175
278,142,151,157,142,130
290,133,143,140,147,147
271,138,162,156,134,139
273,148,176,130,142,131
270,147,146,152,127,158
271,154,133,149,151,142
271,155,124,132,152,166
268,140,143,153,151,145
279,160,160,128,142,131
274,144,130,166,141,145
310,125,140,148,161,116
281,166,129,132,133,159
300,129,142,142,147,140
287,133,148,137,147,148
277,143,153,159,131,137
281,132,136,152,151,148
278,119,164,138,147,154
276,126,153,151,138,156
284,145,141,141,142,147
308,140,145,125,132,150
293,141,135,141,144,146
306,141,138,133,133,149
290,132,150,116,153,159
306,147,132,157,136,122
281,155,143,135,142,144
261,164,130,152,147,146
268,130,147,138,148,169
304,130,142,136,138,150
277,155,138,152,140,138
