server,bus1,bus2
716,212,72
717,130,153
683,119,198
695,123,182
691,125,184
698,124,178
669,132,199
687,125,188
709,109,182
724,103,173
752,89,159
705,127,168
710,131,159
719,112,169
720,117,163
725,115,160
706,131,163
430,401,169
809,109,82
880,82,38
612,205,183
647,161,192
656,148,196
644,175,181
624,194,182
475,312,213
367,378,255
603,203,194
648,185,167
723,146,131
711,86,203
755,75,170
771,86,143
691,141,168
702,154,144
668,174,158
613,181,206
652,171,177
674,154,172
673,161,166
698,150,152
676,175,149
568,241,191
615,181,204
647,143,210
713,110,177
630,171,199
651,163,186
625,167,208
632,167,201
630,180,190
655,157,188
651,164,185
667,165,168
636,173,191
661,167,172
639,182,179
647,175,178
654,175,171
611,190,199
641,168,191
639,168,193
669,155,176
633,177,190
682,156,162
697,156,147
684,158,158
679,155,166
669,163,168
686,157,157
667,170,163
660,169,171
683,155,162
727,136,137
709,136,155
689,143,168
687,145,168
676,148,176
651,158,191
350,227,423
997,3,0
632,161,207
650,145,205
687,123,190
679,124,197
667,135,198
675,123,202
701,111,188
768,71,161
785,75,140
702,111,187
713,104,183
758,82,160
771,82,147
756,83,161
772,81,147
770,77,153
773,78,149
708,99,193
717,102,181
