server,bus1,bus2
699,131,170
656,147,197
644,152,204
662,149,189
658,157,185
671,155,174
625,171,204
642,156,202
673,141,186
704,127,169
713,142,145
613,209,178
717,126,157
694,149,157
715,160,125
713,154,133
680,162,158
597,196,207
535,248,217
588,189,223
466,318,216
616,182,202
667,136,197
637,156,207
637,163,200
449,334,217
247,509,244
399,393,208
590,181,229
732,67,201
753,53,194
781,38,181
785,38,177
765,57,178
730,93,177
695,179,126
614,193,193
673,177,150
704,173,123
668,181,151
668,177,155
607,224,169
490,326,184
397,421,182
578,216,206
739,60,201
691,104,205
670,120,210
580,203,217
569,221,210
611,184,205
668,135,197
709,112,179
641,149,210
579,203,218
615,171,214
614,178,208
645,154,201
604,186,210
559,238,203
590,194,216
568,218,214
591,197,212
545,217,238
709,121,170
717,88,195
690,89,221
656,134,210
659,149,192
647,156,197
639,162,199
625,167,208
628,167,205
651,137,212
668,135,197
662,145,193
639,154,207
636,161,203
624,174,202
609,177,214
597,176,227
0,967,33
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
