server,bus1,bus2,bus3
515,246,105,129,
646,140,132,230,
591,92,221,125,
454,113,252,119,
490,153,198,124,
492,138,229,138,
541,149,222,126,
567,129,255,101,
508,107,260,84,
493,112,291,85,
643,110,275,96,
696,108,294,79,
512,118,292,75,
695,105,254,84,
824,121,135,106,
624,152,125,111,
467,148,226,143,
579,144,265,166,
613,128,298,133,
411,189,223,157,
595,158,237,174,
489,118,231,147,
439,161,225,137,
648,127,244,168,
555,92,209,139,
630,40,241,141,
655,41,262,134,
647,49,177,166,
465,94,202,184,
588,112,221,175,
571,167,195,203,
558,159,202,187,
447,106,206,187,
600,132,217,196,
603,104,198,192,
450,109,209,145,
635,140,205,162,
685,155,197,143,
395,160,198,149,
581,150,189,130,
488,165,192,151,
504,176,200,111,
575,117,188,140,
525,102,208,128,
513,132,174,138,
606,127,170,173,
490,141,141,161,
655,153,217,154,
712,127,169,145,
502,142,237,124,
591,160,255,133,
525,177,263,114,
529,167,279,115,
528,173,196,106,
619,143,215,105,
607,138,228,88,
605,136,211,121,
520,156,236,138,
609,80,176,101,
633,90,151,76,
556,111,308,107,
466,128,279,129,
627,73,155,65,
648,101,326,121,
446,142,228,137,
491,154,280,140,
478,134,331,103,
584,122,276,117,
394,153,241,131,
672,110,212,134,
622,84,206,150,
658,45,210,125,
666,42,221,131,
559,45,222,150,
709,52,286,150,
475,94,264,150,
595,65,242,120,
605,106,295,159,
581,116,255,172,
628,98,210,161,
513,109,281,163,
453,105,279,148,
549,121,259,180,
495,156,204,106,
681,187,51,117,
718,188,47,136,
757,190,48,161,
677,199,54,167,
539,225,51,165,
625,171,54,159,
603,158,94,170,
607,158,82,171,
548,169,98,184,
648,179,108,214,
480,175,90,180,
626,172,117,231,
512,166,138,198,
526,103,128,150,
706,106,143,154,
490,96,227,185,
